symbol,company_name,industry,yahoo_symbol,latest_close,price_date,return_63d,return_126d,return_189d,return_252d,weighted_momentum,rs_rating,is_high_rs,vcp_stars,vcp_trend_template,vcp_range_position,vcp_contracting_ranges,vcp_contracting_volatility,vcp_pivot_readiness,close,sma50,sma150,sma200,sma200_20d_ago,high_252,low_252,pct_below_high,pct_above_low,range_60_pct,range_30_pct,range_15_pct,atr_50_pct,atr_20_pct,atr_10_pct,pivot_55,distance_to_pivot_pct,avg_volume_10,avg_volume_50,volume_ratio,live_price,breakout_pct,is_breakout,quote_status,quote_timestamp,breakout_reason
HONASA,Honasa Consumer Limited,,HONASA.NS,467.3999938964844,2026-08-12,0.3203389658092779,0.5758596907559006,0.7030423505461585,0.7802323962210507,0.5399624738283331,91,True,5,True,True,True,True,True,467.3999938964844,445.29700134277346,359.9820009358724,339.5332507324219,322.2182507324219,491.3500061035156,248.39999389648438,4.874328260817307,88.16425337404145,39.25180603776673,12.35994050293361,11.319460640697484,3.1887035598552944,3.100662696334489,2.9835248821753115,491.3500061035156,4.874328260817312,787123.9,1539344.12,0.5113371921023091,,,False,UNAVAILABLE,,quote has no finite close
SETL,Standard Engineering Technology Limited,,SETL.NS,300.04998779296875,2026-08-12,1.2009094385900623,1.2426937951275656,0.832030712109747,0.7408330629522428,1.043475289473936,98,True,4,True,True,True,False,True,300.04998779296875,243.7045993041992,167.63819966634114,165.91404983520508,155.69105003356933,307.0,104.55999755859375,2.2638476244401518,186.96441736700075,134.70947464620434,20.392156862745097,18.87705711519845,4.69748418384876,4.354275786973159,4.504252322865311,307.0,2.2638476244401464,736589.6,1296736.7,0.568033279230857,301.70001220703125,-1.726380388589166,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
INDOBORAX,Indo Borax & Chemicals Limited,,INDOBORAX.NS,449.04998779296875,2026-08-12,0.7845710483759272,1.0148739063198455,0.9320533483894051,0.7027101085723635,0.8437558920066937,97,True,4,True,True,True,False,True,449.04998779296875,378.85095275878905,285.78284047444663,273.41646667480467,254.21386207580565,464.20001220703125,204.51708976468473,3.2636846220731375,119.56599730107693,83.97512738689043,36.28520784655472,28.56945794254124,5.277046487802908,6.640123676764464,5.762164046683299,464.20001220703125,3.263684622073136,419010.9,575075.7,0.7286186844618892,444.20001220703125,-4.3084876075100365,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
KMEW,Knowledge Marine & Engineering Works Limited,,KMEW.NS,2593.0,2026-08-12,0.3110526524338948,0.47212442605851157,0.888290192398536,2.1063192572626535,0.8177678361174983,97,True,4,True,True,True,True,False,2593.0,2295.621999511719,1941.671993001302,1837.6309930419923,1703.5642419433593,2737.0,797.5,5.26123492875411,225.141065830721,59.93688552012024,30.669334115975765,18.464340187319607,4.5372923156997205,4.152718105235249,3.959120144680389,2737.0,5.26123492875411,71530.5,112004.38,0.6386402031777686,2640.0,-3.5440263061746413,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
RRKABEL,R R Kabel Limited,,RRKABEL.NS,2789.60009765625,2026-08-12,0.43138089924483025,0.9750226109817854,1.0616527194218022,1.1930210153761145,0.8184916288538726,97,True,4,True,True,True,False,True,2789.60009765625,2402.775517578125,1834.852216796875,1728.691434326172,1596.5133331298828,2845.0,1158.7465736666888,1.947272490114238,140.74289935796375,49.164353793563265,31.469500924214415,22.09252680523095,3.533785464647057,3.836212592775797,3.005088655005399,2845.0,1.9472724901142355,452823.3,679259.22,0.6666428465998592,2801.10009765625,-1.543054563927948,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
WELCORP,Welspun Corp Limited,,WELCORP.NS,1867.5999755859375,2026-08-12,0.43147543670895483,1.2463600882253356,1.0354131021932598,1.146885181674202,0.8583218491021415,97,True,4,True,True,True,False,True,1867.5999755859375,1560.465546875,1166.0704341634114,1086.8553805541992,1001.218013305664,1872.9000244140625,707.6502693631002,0.2829862117057269,163.91567366558286,50.06541047676515,32.97124773972755,19.58243409551289,2.8068281228877656,2.9066722250622066,2.6975807318715352,1872.9000244140625,0.2829862117057274,714373.9,988016.62,0.7230383432213924,1880.4000244140625,0.4004484971025901,True,LIVE,2026-08-13T12:14:00+05:30,live price above pivot
LAURUSLABS,Laurus Labs Limited,,LAURUSLABS.NS,1850.0,2026-08-12,0.39770325938623063,0.9163263667475294,0.8787073919931057,1.2109990315791563,0.7602878618184505,96,True,4,True,True,True,True,False,1850.0,1568.170009765625,1257.1885595703125,1197.2006805419921,1112.0663934326171,1870.800048828125,808.577124737889,1.1118263996814703,128.79697475979205,40.4399131533078,29.181060068002658,20.316420313460604,2.2555674619932433,2.197567501583615,1.7740544499577702,1870.800048828125,1.111826399681474,1763726.9,2242675.5,0.7864387424752265,1838.0,-1.7532632014132687,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
MBAPL,Madhya Bharat Agro Products Limited,,MBAPL.NS,165.75,2026-08-12,0.5495670378748778,0.7857549499721597,1.0445729118640785,0.9727801326332663,0.780448414043852,96,True,4,True,True,True,False,True,165.75,131.74927032470703,108.1653146870931,101.57714065551758,94.54471549987792,170.1999969482422,74.56403046577304,2.6145693466701037,122.29216817361265,63.65700897945192,55.07972387083571,22.050914788770537,3.8737968908348153,4.7125184302236525,3.829261008790535,170.1999969482422,2.614569346670101,759567.7,1442639.28,0.526512559674654,167.80999755859375,-1.4042299838437966,False,LIVE,2026-08-13T12:15:00+05:30,live price not above pivot
BLUSPRING,Bluspring Enterprises Limited,,BLUSPRING.NS,121.51000213623047,2026-08-12,0.7884898111539633,1.0442463819578678,0.6264222142318896,0.46028125793964536,0.741585895287466,95,True,4,True,True,True,True,False,121.51000213623047,108.04660018920899,76.82940022786458,75.53375007629394,72.23645015716552,131.82000732421875,43.97999954223633,7.821274931832045,176.28468258517822,99.24425639007883,30.64420746357418,22.893952551820714,6.299563891986963,5.294625474341319,5.259649620486132,131.82000732421875,7.821274931832041,364745.7,1173261.56,0.31088182928280716,115.31999969482422,-12.517073822346125,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot
FCL,Fineotex Chemical Limited,,FCL.NS,42.650001525878906,2026-08-12,0.6764937354769913,0.7486675929963471,0.6944776081287456,0.8015244838526221,0.7195314311863394,95,True,4,True,True,True,True,False,42.650001525878906,39.95559989929199,29.995666631062825,28.763969984054565,27.20719078063965,47.18000030517578,19.100000381469727,9.601523420931224,123.29843284849731,53.98172730093231,27.953314535299196,20.833332906059905,5.5990625415345825,5.341149303399633,5.116060706723402,47.18000030517578,9.601523420931223,10037773.8,13255532.6,0.7572516399680539,,,False,UNAVAILABLE,,quote has no finite close
