symbol,company_name,industry,listing_date,ipo_age_days,liquidity_rank,top_1000_liquid,recent_ipo_overlay,history_sessions,scan_date,price_date,latest_open,latest_high,latest_low,latest_close,latest_volume,previous_close,return_20d,return_63d,return_126d,return_189d,return_252d,sma20,sma50,sma150,sma200,momentum_eligibility,vcp_eligibility,nr7,three_close_band_pct,atr14_pct,atr14_average_50_pct,atr_contraction,average_volume_20d,volume_ratio_20d,daily_close_position,daily_range,median_range_20d,distance_from_20d_high_pct,accumulation_day,volume_dry_up,gap_pct,gap_and_hold,daily_inside_bar,double_inside_bar,weekly_inside_bar,ipo_base_depth_pct,prior_20_high,ipo_base,ipo_momentum,ipo_breakout,resistance_price,resistance_touches,resistance_dispersion_pct,distance_to_resistance_pct,horizontal_resistance,pole_gain_pct,consolidation_sessions,consolidation_depth_pct,consolidation_volume_ratio,flags_pennants,rs_line_eligibility,rs_line_distance_from_high_pct,price_distance_from_high_pct,rs_high_before_price_high,history_status,series,isin,yahoo_symbol,median_traded_value_60d,weighted_momentum,rs_rating,is_high_rs,vcp_stars,vcp_trend_template,vcp_range_position,vcp_contracting_ranges,vcp_contracting_volatility,vcp_pivot_readiness,close,sma200_20d_ago,high_252,low_252,pct_below_high,pct_above_low,range_60_pct,range_30_pct,range_15_pct,atr_50_pct,atr_20_pct,atr_10_pct,pivot_55,distance_to_pivot_pct,avg_volume_10,avg_volume_50,volume_ratio,live_price,breakout_pct,is_breakout,quote_status,quote_timestamp,breakout_reason,benchmark_status
BATLIBOI,Batliboi Limited,,2026-04-20,115.0,1650,False,True,86,2026-08-13,2026-08-12,85.80000305175781,93.3499984741211,85.05999755859375,91.37000274658203,363179.0,84.5999984741211,9.885921336829796,12.697988787649939,,,,86.27108459472656,82.98294372558594,,,NOT ELIGIBLE,NOT ELIGIBLE,False,8.00236926071797,6.669789789642483,4.712750027568685,False,140452.9,2.5857707459226544,0.7611585634652357,8.290000915527344,4.509085557568312,14.206570191002788,True,False,1.4184451528137965,False,False,False,False,33.62320308996556,106.5,False,False,False,84.43047591346826,2.0,0.11757785859853143,-8.21922032066479,False,21.938766086483398,16,23.61502490692855,2.733136635858002,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BAYERCROP,Bayer Cropscience Limited,,2010-01-08,6061.0,775,True,False,499,2026-08-13,2026-08-12,4106.0,4127.5,4050.10009765625,4114.60009765625,21578.0,4116.10009765625,1.4886860247517397,-4.078280455372852,-11.157419414695656,-5.392833513883344,-25.017469405072102,4195.277294921875,4161.771845703125,4398.279088541667,4417.903818359375,ELIGIBLE,ELIGIBLE,False,1.0377608034271064,1.6842052876123101,2.022955644587221,True,37407.4,0.5768377379876709,0.8333343847585402,77.39990234375,61.42039061921105,8.39949384965001,False,False,-0.2453802729919352,False,False,False,False,14.013825589722028,4491.896683302911,False,False,False,4237.56977368321,5.0,1.8384501004427658,2.901891475407545,True,7.299840438417204,5,6.656060549622235,0.560751463424031,False,ELIGIBLE,31.22968887714237,25.769257546688003,False,COMPLETE,,,,,-0.09944856648879362,22.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BBL,Bharat Bijlee Limited,,2006-11-21,7205.0,882,True,False,499,2026-08-13,2026-08-12,2329.0,2329.800048828125,2290.0,2297.89990234375,11760.0,2324.39990234375,-14.550797855607867,-9.200938764595367,-8.913152182191542,-20.18150269831218,-16.84527946095106,2492.1049682617186,2645.3082421875,2596.7020751953123,2654.0915576171874,ELIGIBLE,ELIGIBLE,True,1.1532269083162083,3.671364997391075,2.986041371222944,False,37252.75,0.31568139264886486,0.19848976512228486,39.800048828125,68.300048828125,15.175345059293097,False,False,0.19790474313872153,False,True,False,False,24.17566030391378,2710.0,False,False,False,2846.6772998003134,4.0,1.4043735790783587,19.27782251592264,False,2.3643699888648673,16,15.582322393692063,1.5260563015285968,False,ELIGIBLE,28.640510093489844,31.752965492687434,False,COMPLETE,,,,,-0.12868362374129103,17.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BBOX,Black Box Limited,,2003-07-22,8423.0,363,True,False,499,2026-08-13,2026-08-12,730.2999877929688,794.7000122070312,722.0,757.5999755859375,453540.0,743.3499755859375,-13.169057239434101,-13.786631512268844,33.29814517980645,37.420640732979884,49.74197369105195,770.8350006103516,895.3560034179687,703.5213354492188,661.7082507324219,ELIGIBLE,ELIGIBLE,False,1.9169974397009422,4.3718883515127915,4.970688422262025,True,307946.2,1.4727897275563069,0.48968321331993414,72.70001220703125,29.47503662109375,14.627005325341308,False,False,-1.7555644341929577,False,False,False,True,34.542157751586586,898.9000244140625,False,False,False,1094.0,2.0,1.6453382084095063,30.749545193241545,False,-3.9505744213853333,6,9.148107599134125,0.5551429454500457,False,ELIGIBLE,32.666009274127916,31.314598768274028,False,COMPLETE,,,,,0.18577499315860121,69.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BCG,Brightcom Group Limited,,2015-05-08,4115.0,974,True,False,499,2026-08-13,2026-08-12,9.869999885559082,10.010000228881836,9.699999809265137,9.869999885559082,5885197.0,9.880000114440918,0.611615324933168,6.70270146550358,-18.02325650472817,-26.50782083932427,-35.78399506149338,9.49850001335144,9.918200016021729,9.928799991607667,10.473499999046325,ELIGIBLE,ELIGIBLE,False,0.1013194427334026,4.602690565256673,4.412668989203694,False,5066198.75,1.1616593210047277,0.5483866005863551,0.3100004196166992,0.25500011444091797,5.09615146549487,False,False,-0.10121689034415793,False,False,False,True,41.22137721341615,10.399999618530273,False,False,False,10.349999904632568,2.0,0.9661780552350662,4.6376813864379125,False,1.2658316986067009,16,25.961537579812916,1.2553455908512527,False,ELIGIBLE,41.94925227832268,44.237291185743636,False,COMPLETE,,,,,-0.13381933894907733,17.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BCPL,BCPL Railway Infrastructure Limited,,2026-03-27,139.0,1787,False,True,96,2026-08-13,2026-08-12,69.30000305175781,71.0,68.5,69.69999694824219,12078.0,69.52999877929688,-1.4562510388887673,-8.372849764546263,,,,70.05649909973144,72.62859939575195,,,NOT ELIGIBLE,NOT ELIGIBLE,False,0.2589187483709892,3.8757943585511603,4.021732062859263,True,7291.25,1.6565060860620606,0.479998779296875,2.5,2.3100013732910156,4.389580947403332,False,False,-0.3307863247188014,False,True,False,True,19.811323640523813,72.9000015258789,True,False,False,72.87000274658203,3.0,1.6742159664051188,4.350220500696404,True,0.29770212892983317,12,6.721538303588987,1.2749730799088475,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BDL,Bharat Dynamics Limited,,2018-03-23,3065.0,186,True,False,499,2026-08-13,2026-08-12,1309.0,1340.0,1308.0,1340.0,1279928.0,1307.5999755859375,5.412212985431641,1.1015523854688292,3.076923076923066,-12.30135989742629,-14.201906987297564,1269.4750061035156,1292.4740063476563,1321.8331013997397,1360.8687725830077,ELIGIBLE,ELIGIBLE,False,2.4778238772560393,2.3448835100446432,2.8362028361058482,True,739405.8,1.731022396632539,1.0,32.0,24.64996337890625,0.0,True,False,0.10706825024489053,False,False,False,False,19.80562643721798,1319.199951171875,False,False,False,1436.7999877929688,2.0,0.5150351111451139,6.737192971560411,False,9.730233352810448,16,8.880597014925373,0.5951430534113507,False,ELIGIBLE,14.80759731010445,18.69582827356927,False,COMPLETE,,,,,-0.04244647807372626,32.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BECTORFOOD,Mrs. Bectors Food Specialities Limited,,2020-12-24,2058.0,543,True,False,499,2026-08-13,2026-08-12,241.0,243.38999938964844,233.52000427246094,242.35000610351562,2242467.0,240.6199951171875,43.42783000099877,33.28383856515187,7.253111847141458,-5.830391122876533,-18.83311510170691,212.95600051879882,191.98199981689453,197.71484181722005,211.94538932800293,ELIGIBLE,ELIGIBLE,False,3.888034710082352,4.0717391079484315,4.066289228365772,False,15359934.8,0.145994565029013,0.8946308206047864,9.8699951171875,10.180000305175781,0.5294669550830825,False,True,0.15792739195570338,False,True,False,False,32.27713002243162,243.63999938964844,False,False,False,219.55500030517578,2.0,0.05010161927474414,-10.38236695436468,False,29.390995781103758,10,15.695290423970002,0.20817664569663147,False,ELIGIBLE,20.016018102732573,20.35674838991847,False,COMPLETE,,,,,0.09831456550572353,57.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BEEKAY,Beekay Steel Industries Limited,,2026-04-20,115.0,1816,False,True,80,2026-08-13,2026-08-12,454.0,454.0,422.0,435.6499938964844,77407.0,397.8999938964844,7.581178111869691,1.3375203725600748,,,,401.325,403.47900146484375,,,NOT ELIGIBLE,NOT ELIGIBLE,False,10.571064440732075,4.181764881438775,5.467413072193055,True,1858.5,41.650255582458975,0.4265623092651367,32.0,14.375,4.041851564651019,False,False,14.09902160443619,False,False,False,False,19.530228398658075,415.0,True,False,True,413.95001220703125,5.0,1.207875311644953,-5.242174429167594,False,3.9913025098901933,18,15.121144030062638,1.3809204560924924,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
BEL,Bharat Electronics Limited,,2000-07-19,9521.0,33,True,False,499,2026-08-13,2026-08-12,405.44957498801335,405.69923605635574,398.7586461659559,405.1499938964844,13125672.0,405.2998046875,-1.277529318278725,-4.23698670659739,-6.831199470965599,-4.650796002645596,5.318457328467208,399.36035003662107,407.6096514892578,423.00541951497394,418.4348762512207,ELIGIBLE,ELIGIBLE,False,0.3709705528614522,1.757104477245924,1.9157261612521594,True,12152209.45,1.0801058074258258,0.9208652047528302,6.940589890399849,5.492543643349364,1.6484833211600671,False,False,0.03695296636740952,False,False,False,True,12.1379251325342,413.738317292416,False,False,False,416.4346649035769,3.0,0.9592316944886449,2.7098298864493975,True,2.150144925510622,20,7.345447856480433,0.9998560631701333,False,ELIGIBLE,13.466854618905334,14.309856381670288,False,COMPLETE,,,,,-0.02927502311667754,35.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
