symbol,company_name,industry,listing_date,ipo_age_days,liquidity_rank,top_1000_liquid,recent_ipo_overlay,history_sessions,scan_date,price_date,latest_open,latest_high,latest_low,latest_close,latest_volume,previous_close,return_20d,return_63d,return_126d,return_189d,return_252d,sma20,sma50,sma150,sma200,momentum_eligibility,vcp_eligibility,nr7,three_close_band_pct,atr14_pct,atr14_average_50_pct,atr_contraction,average_volume_20d,volume_ratio_20d,daily_close_position,daily_range,median_range_20d,distance_from_20d_high_pct,accumulation_day,volume_dry_up,gap_pct,gap_and_hold,daily_inside_bar,double_inside_bar,weekly_inside_bar,ipo_base_depth_pct,prior_20_high,ipo_base,ipo_momentum,ipo_breakout,resistance_price,resistance_touches,resistance_dispersion_pct,distance_to_resistance_pct,horizontal_resistance,pole_gain_pct,consolidation_sessions,consolidation_depth_pct,consolidation_volume_ratio,flags_pennants,rs_line_eligibility,rs_line_distance_from_high_pct,price_distance_from_high_pct,rs_high_before_price_high,history_status,series,isin,yahoo_symbol,median_traded_value_60d,weighted_momentum,rs_rating,is_high_rs,vcp_stars,vcp_trend_template,vcp_range_position,vcp_contracting_ranges,vcp_contracting_volatility,vcp_pivot_readiness,close,sma200_20d_ago,high_252,low_252,pct_below_high,pct_above_low,range_60_pct,range_30_pct,range_15_pct,atr_50_pct,atr_20_pct,atr_10_pct,pivot_55,distance_to_pivot_pct,avg_volume_10,avg_volume_50,volume_ratio,live_price,breakout_pct,is_breakout,quote_status,quote_timestamp,breakout_reason,benchmark_status
360ONE,360 ONE WAM LIMITED,,2019-09-19,2520.0,202,True,False,498,2026-08-13,2026-08-12,1159.0,1162.5,1140.5,1161.0,917521.0,1168.0,5.679958656542072,6.143714405925627,0.45935414526212526,8.667374441233623,11.059677467381546,1138.7150024414063,1116.136005859375,1092.3488521321615,1101.5484719848632,ELIGIBLE,ELIGIBLE,False,1.2575345035260552,2.8042323536225697,2.841594404430485,True,1233532.85,0.7438156186922787,0.9318181818181818,22.0,30.49993896484375,3.007518796992481,False,False,-0.7705479452054798,False,False,False,False,13.842936605837512,1197.0,False,False,False,1159.5499877929688,4.0,1.5523263498333804,-0.1250495642530369,True,11.830375522812853,5,4.720133667502088,0.6362008687050059,False,ELIGIBLE,1.848526530922138,5.537970671604288,False,COMPLETE,,,,,0.0649476697314571,52.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
3BBLACKBIO,3B Blackbio Dx Limited,,2026-04-20,115.0,1369,False,True,80,2026-08-13,2026-08-12,1216.800048828125,1270.0,1190.0,1251.0999755859375,5704.0,1208.0,-1.503698340431836,-3.075617581377521,,,,1253.4399963378905,1217.4599951171874,,,NOT ELIGIBLE,NOT ELIGIBLE,False,3.567878773670323,3.5443113207982426,4.939629685638938,True,10144.8,0.5622584969639619,0.7637496948242187,80.0,40.25006103515625,5.35593066953058,False,False,0.7284808632553874,False,False,False,False,24.731182795698924,1321.9000244140625,False,False,False,1319.4000244140625,3.0,1.2050950522851176,5.176599027156804,False,13.349989188400158,20,10.129360915430365,0.55285598568887,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
3MINDIA,3M India Limited,,2004-08-13,8035.0,764,True,False,497,2026-08-13,2026-08-12,36280.0,36300.0,35760.0,35935.0,2184.0,36115.0,1.462350657985012,16.676021479266968,-0.08107030176747188,2.46043554728983,18.227411338694722,35471.2,33992.0773046875,33325.5221484375,33477.11322265625,ELIGIBLE,ELIGIBLE,False,0.5988857938718662,2.302768888270488,2.4560969206627186,True,3732.65,0.5851070954951576,0.32407407407407407,540.0,742.5,1.977632296781233,False,False,0.4568738751211443,False,True,False,False,17.18409167897127,36660.0,False,False,False,36474.25815822433,4.0,1.7272455474408206,1.478462305895413,True,16.291933238949554,15,5.932896890343699,0.7226365975249451,True,ELIGIBLE,1.798871387936911,4.140356144373238,False,COMPLETE,,,,,0.10791763908550203,59.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
63MOONS,63 moons technologies limited,,2005-06-20,7724.0,723,True,False,499,2026-08-13,2026-08-12,858.0,880.0,826.0,867.4000244140625,382822.0,858.6500244140625,20.514070776528314,34.28284047095196,19.666145220311783,20.196770604745762,-8.063931923944912,798.370004272461,721.3450036621093,661.8420035807292,687.1787524414062,ELIGIBLE,ELIGIBLE,False,1.0190414896885314,5.617773411266025,4.364542790352822,False,1594471.85,0.24009329484242697,0.7666671187789352,54.0,35.350006103515625,9.452475248092505,False,False,-0.07570306825601669,False,False,False,False,37.71595419270008,957.9500122070312,False,False,False,738.75,2.0,1.123526068104907,-17.414554912225043,False,37.0064891627291,7,8.739363354278105,0.24383095646540145,True,ELIGIBLE,11.642657709604563,15.66947538308528,False,COMPLETE,,,,,0.20072932968603308,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AADHARHFC,Aadhar Housing Finance Limited,,2024-05-15,820.0,641,True,False,499,2026-08-13,2026-08-12,498.20001220703125,506.0,496.1000061035156,502.0,240315.0,501.54998779296875,-2.28710462287105,8.154692793544882,6.007816057524495,1.9392806490486691,-0.6530749797525881,503.63999938964844,504.77499816894533,484.7506658935547,486.4559996032715,ELIGIBLE,ELIGIBLE,True,0.089724298272141,2.665765596236705,2.9895394289173423,True,282925.6,0.849392914603698,0.5959593468617738,9.899993896484375,11.67498779296875,4.28067722080039,False,False,-0.6679245673355094,False,True,False,False,20.10657410426843,524.4500122070312,False,False,False,521.125,4.0,1.6406788760793953,3.669944830894699,True,14.170624420448918,18,7.121747589696191,0.4322627014155521,False,ELIGIBLE,10.257685823832393,10.8348134991119,False,COMPLETE,,,,,0.047206814627820684,49.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARNAV,Aarnav Fashions Limited,,2026-02-25,169.0,1692,False,True,113,2026-08-13,2026-08-12,32.0,33.400001525878906,31.209999084472656,33.150001525878906,97252.0,31.799999237060547,26.865681555981922,49.66140901486173,,,,30.54400005340576,27.18299991607666,,,NOT ELIGIBLE,NOT ELIGIBLE,False,8.262575497397826,6.27020018142867,6.307303040155965,True,177490.2,0.5479288433952972,0.8858448761182799,2.19000244140625,2.0550012588500977,11.363635900012504,False,False,0.6289332318799801,False,False,False,True,41.84492215875954,37.400001525878906,False,True,False,25.494999885559082,4.0,0.8236873324781,-30.02550176380186,False,29.693962839358967,8,10.598804652103052,0.4115829762359941,True,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARTIDRUGS,Aarti Drugs Limited,,2003-09-19,8364.0,975,True,False,499,2026-08-13,2026-08-12,444.45001220703125,444.45001220703125,420.8500061035156,432.0,264903.0,439.3500061035156,2.4667916854656857,17.471108089734866,13.833992094861669,-8.554897096468682,-14.200216199965876,416.71499786376955,394.6560009765625,378.0455841064453,391.5661344909668,ELIGIBLE,ELIGIBLE,False,3.975865293073481,3.0133933617324424,3.010964321172604,False,254783.75,1.0397170149195152,0.47245724630653346,23.600006103515625,10.875,4.772400349998584,False,False,1.1608071088347716,False,False,False,False,19.541495666086767,453.6499938964844,False,False,False,434.0,3.0,1.8548358969974077,0.4608294930875576,True,16.100076074003745,16,11.605862361919982,1.0823455401746345,False,ELIGIBLE,14.312974760028826,18.750620844667377,False,COMPLETE,,,,,0.05204218995579368,51.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARTIIND,Aarti Industries Limited,,1995-02-08,11509.0,422,True,False,499,2026-08-13,2026-08-12,510.0,534.0,503.25,530.9000244140625,5378998.0,505.29998779296875,6.0315581127935,13.865956978887395,13.488678552300337,37.34317453876257,40.65671319343232,492.8875030517578,479.19600158691406,450.13500142415364,432.0352508544922,ELIGIBLE,ELIGIBLE,False,6.063337800668722,2.8966988527204323,3.2422279318006453,True,1476969.35,3.6419157919560075,0.8991877858231707,30.75,12.70001220703125,0.5805197726474719,True,False,0.9301429488569379,False,False,False,True,20.59925093632959,516.9500122070312,False,False,False,504.84999084472656,4.0,1.960977335053424,-5.159955242496573,False,17.973587191647454,19,12.172284644194757,0.9440428018758654,False,ELIGIBLE,0.0,0.5805197726474719,True,COMPLETE,,,,,0.23844096048454,74.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AARTIPHARM,Aarti Pharmalabs Limited,,2023-01-30,1291.0,750,True,False,499,2026-08-13,2026-08-12,875.5,930.9500122070312,875.0999755859375,888.7000122070312,3552033.0,883.7000122070312,23.731293032653156,24.86125917907007,16.507539423470764,15.427864704433958,6.632468705166894,711.9300018310547,689.9289990234375,703.1533162434896,714.5901550292969,ELIGIBLE,ELIGIBLE,False,7.982990547634417,4.274704234001539,3.4792258552879587,False,1026280.95,3.4610727208762864,0.2435098962129814,55.85003662109375,22.149993896484375,4.7072661943106535,False,False,-0.9279180823537403,False,True,False,False,35.21873898458074,932.5999755859375,False,False,False,741.4000244140625,3.0,1.159964297645413,-19.867815341573767,False,18.454692655991202,20,30.216598238265917,4.91585650807821,False,ELIGIBLE,2.7500937066654574,5.867914863696301,False,COMPLETE,,,,,0.17658078238242353,68.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AASTHA,Aastha Spintex Limited,,2026-07-06,38.0,,False,True,28,2026-08-13,2026-08-12,73.0,76.58000183105469,73.0,74.19000244140625,977862.0,73.12000274658203,-42.34534763431837,,,,,91.36500091552735,,,,NOT ELIGIBLE,NOT ELIGIBLE,False,1.4633474488952143,8.6515322899389,,False,6015380.6,0.1625602875402431,0.33240274658062646,3.5800018310546875,5.2050018310546875,47.01092396815718,False,False,-0.16411753565974685,False,False,False,True,50.00356921192346,140.00999450683594,False,False,False,140.00999450683594,1.0,0.0,47.01092396815718,False,4.756880018034582,16,50.00356921192346,3.3210133994844315,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
AAVAS,Aavas Financiers Limited,,2018-10-08,2866.0,739,True,False,499,2026-08-13,2026-08-12,1396.800048828125,1432.5999755859375,1388.5,1416.199951171875,46633.0,1396.800048828125,-5.643285486337013,2.2748610609353737,5.442630996553111,-12.537055714032185,-15.832641642663347,1412.9350036621095,1430.186005859375,1357.262001953125,1409.1600012207032,ELIGIBLE,ELIGIBLE,False,1.3888818489107269,3.0257034275218118,3.14258842445546,True,84168.7,0.5540420607660568,0.6281171543484458,44.0999755859375,40.1500244140625,8.33064089639068,False,False,0.0,False,True,False,False,19.243966867104078,1544.9000244140625,False,False,False,1537.8500366210938,4.0,0.9168628442417855,7.910399749802896,False,19.41284073995839,20,12.861678432398815,0.4481794650560828,False,ELIGIBLE,17.847650686060902,20.074500160346886,False,COMPLETE,,,,,-0.03675468847654335,33.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABANSENT,Abans Enterprises Limited,,2026-04-20,115.0,1957,False,True,80,2026-08-13,2026-08-12,27.56999969482422,27.56999969482422,27.56999969482422,27.56999969482422,4868.0,26.260000228881836,-1.1473635777238034,-17.775124668816456,,,,26.74000005722046,27.29319995880127,,,NOT ELIGIBLE,NOT ELIGIBLE,True,4.988573703444188,5.4096075461389805,6.146601488718781,True,6401.35,0.7604645895006522,,0.0,1.3400001525878906,4.766842942131637,False,False,4.988573703444188,False,False,False,False,19.374998235388784,28.950000762939453,True,False,False,27.989999771118164,3.0,1.8220801466675471,1.500536190526617,True,9.287924165472239,18,11.733615300135563,0.9630302969762957,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABB,ABB India Limited,,1995-02-08,11509.0,115,True,False,499,2026-08-13,2026-08-12,7611.5,7741.0,7585.5,7710.0,224512.0,7611.5,8.276291993965357,22.24988508646446,33.435596820006694,57.329912678853525,53.319327196642654,7449.644482421875,7125.987900390625,6458.618212890625,6111.629497070313,ELIGIBLE,ELIGIBLE,False,1.2940944623267425,2.7336187354140242,2.7576922181966395,True,490624.2,0.4576048225913031,0.8006430868167203,155.5,173.31916545868717,1.5614177835757708,False,True,0.0,False,False,False,False,17.143034647592025,7832.294844565128,False,False,False,7230.381038683927,4.0,0.9842161976829094,-6.633384309208874,False,14.116677277871847,19,10.253971448011791,0.9574251459636173,False,ELIGIBLE,0.0,1.5614177835757708,True,COMPLETE,,,,,0.3771692137368636,83.0,True,3.0,True,True,True,False,False,7710.0,5877.2154541015625,7832.294844565128,4564.870705303207,1.5614177835757692,68.8985405663946,20.68991372623788,18.003120304048444,11.425543406716718,2.5511352820021287,2.9422783339325487,2.5553961010973,7832.294844565128,1.5614177835757708,379145.9,355451.14,1.0666610887786152,7751.0,-1.0379441297659886,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot,COMPLETE
ABBOTINDIA,Abbott India Limited,,2010-01-08,6061.0,499,True,False,499,2026-08-13,2026-08-12,27920.0,28235.0,27755.0,28140.0,8191.0,28020.0,4.191320571879009,3.0725870906872954,5.50826447279591,-2.543213250304732,-11.985084048231142,27819.47197265625,26484.7337890625,26273.2291015625,26784.044228515624,ELIGIBLE,ELIGIBLE,False,2.1972035591065917,1.4036958066808813,1.836695935227367,True,9050.85,0.9049978731279382,0.8020833333333334,480.0,415.02683293269183,0.4890065688501998,False,False,-0.35688793718772205,False,False,False,True,12.923290004943677,28278.282659764274,False,False,False,26065.072808564266,4.0,1.9119026422289422,-7.960565491894464,False,14.251824568055117,15,3.2363733281245457,0.5129770647384476,False,ELIGIBLE,14.291852550301906,15.447794106734026,False,COMPLETE,,,,,-0.005749717288730749,39.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABCAPITAL,Aditya Birla Capital Limited,,2017-09-01,3268.0,179,True,False,499,2026-08-13,2026-08-12,407.1499938964844,410.95001220703125,403.04998779296875,410.95001220703125,2350295.0,407.1499938964844,1.6448242925665824,15.063704110307263,16.16961475817138,24.776075479369663,47.7440306398027,405.51750030517576,390.98900024414064,358.2223329671224,354.4522494506836,ELIGIBLE,ELIGIBLE,False,0.9333214705912555,2.76363175559374,2.746554141390265,False,3983226.2,0.5900480871510636,1.0,7.9000244140625,8.949996948242188,4.585558263347915,False,False,0.0,False,False,False,False,22.266083514287143,430.70001220703125,False,False,False,410.70001220703125,3.0,0.5843666484418202,-0.06087168068404551,True,20.112887837748026,20,10.761552075655816,0.9271146372356246,True,ELIGIBLE,2.4903531466755635,4.585558263347915,False,COMPLETE,,,,,0.23763425819591655,74.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABCOTS,A B Cotspin India Limited,,2025-09-24 00:00:00,,,False,True,0,2026-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCAN INCOMPLETE,EQ,INE08PH01015,ABCOTS.NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABDL,Allied Blenders and Distillers Limited,,2024-07-02,772.0,574,True,False,498,2026-08-13,2026-08-12,622.5999755859375,622.9000244140625,603.0499877929688,614.1500244140625,460412.0,619.7999877929688,-1.0153900667289495,11.545475285525164,21.45236120193037,-0.5510089212427127,24.69158077538962,620.3449981689453,626.1331774902344,538.7037473551433,560.0833192443847,ELIGIBLE,ELIGIBLE,False,1.7178193232238486,4.06136308440906,3.609861726689384,False,336128.65,1.3697493504347218,0.5591947678977194,19.85003662109375,21.29998779296875,6.23663749403626,False,False,0.4517566712027854,False,False,False,False,26.81048337879883,655.0,False,False,False,641.2476166558502,3.0,1.5591172870684389,4.225761084790214,True,11.731623093658294,19,11.450381679389313,0.5518669434586313,False,ELIGIBLE,12.621420454746115,13.706616006716011,False,COMPLETE,,,,,0.13736776725425523,63.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABFRL,Aditya Birla Fashion and Retail Limited,,2013-07-17,4775.0,503,True,False,499,2026-08-13,2026-08-12,58.79999923706055,59.099998474121094,57.02000045776367,57.15999984741211,5139419.0,58.630001068115234,-3.543703229161277,-8.777529545792284,-21.68790036944919,-27.37898550085459,-24.908042846886612,59.02349987030029,59.675,63.23366663614909,66.93994995117187,ELIGIBLE,ELIGIBLE,False,6.78796549767818,4.332450047672752,3.2762419887662384,False,7186178.45,0.7151810987938937,0.06730746305883993,2.079998016357422,1.5300006866455078,10.82683118863232,False,False,0.2899508201403833,False,False,False,False,20.14492974765059,64.0999984741211,False,False,False,63.84000015258789,3.0,1.8013748565679208,10.463659600892079,False,10.833481754540198,5,11.045238977994373,2.325009534176097,False,ELIGIBLE,36.93544761831421,39.799892907242146,False,COMPLETE,,,,,-0.18305997561754994,10.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABINFRA,A B Infrabuild Limited,,2024-11-08,643.0,1328,False,True,498,2026-08-13,2026-08-12,10.890000343322754,11.5,10.600000381469727,11.100000381469727,15220917.0,10.8100004196167,10.009912919801,-15.39633781790446,-44.332998574845206,-44.9404738815283,-40.75928443661029,10.19300012588501,10.42540002822876,14.689666709899903,15.758050012588502,ELIGIBLE,ELIGIBLE,False,9.037328572831111,4.292148580047725,7.3720488789712775,True,1562404.2,9.741984180534077,0.5555557910307952,0.8999996185302734,0.2800002098083496,3.4782575524371606,True,False,0.7400547696638338,False,False,False,False,37.00000217982701,11.029999732971191,False,True,True,11.96999979019165,2.0,0.3341684423904815,7.268165613794003,False,13.781698368890915,16,14.956524061120074,0.4063426478758056,False,ELIGIBLE,48.83249242911277,52.88624519064379,False,COMPLETE,,,,,-0.32165086505758544,3.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABLBL,Aditya Birla Lifestyle Brands Limited,,2025-06-23,416.0,932,True,True,285,2026-08-13,2026-08-12,91.44999694824219,92.48999786376953,90.0199966430664,90.29000091552734,602100.0,91.4800033569336,-6.346009361211957,-12.788767447049787,-20.57971183724576,-29.014274472789104,-32.976848465888196,93.70192260742188,95.81142791748047,101.52462666829427,108.3286636352539,ELIGIBLE,ELIGIBLE,False,1.3955057298197278,2.4367682096909307,2.7532941358468492,True,731396.75,0.823219408617826,0.10931341660797904,2.470001220703125,1.9347204042806538,7.055655643368261,False,False,-0.032801057706921544,False,False,False,True,13.597469091690764,97.16405359345298,True,False,False,102.20230032527351,4.0,0.35037939254291284,11.655607918641325,False,2.5446411474896236,7,5.632944459510309,0.9827232997359915,False,ELIGIBLE,38.0646551791468,40.01886959277336,False,COMPLETE,,,,,-0.21629673934004529,8.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABMKNO,ABM Knowledgeware Limited,,2026-04-20,115.0,1869,False,True,80,2026-08-13,2026-08-12,202.9199981689453,202.9199981689453,195.0,199.32000732421875,2163.0,197.9499969482422,-4.466517700588424,-12.868488250492172,,,,194.629248046875,203.87615509033202,,,NOT ELIGIBLE,NOT ELIGIBLE,False,3.3281563664431926,4.607450594198599,5.256171698939319,True,1804.35,1.1987696400365784,0.5454555963355778,7.9199981689453125,8.544998168945312,4.009423207633652,False,False,2.510735689479504,False,False,False,False,26.52377239136089,208.63890075683594,False,False,False,220.06436638605445,6.0,1.9413155932539599,9.426496166782535,False,5.527633575814894,20,12.109775131047433,0.5159183722494475,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABREL,Aditya Birla Real Estate Limited,,2003-06-27,8448.0,601,True,False,499,2026-08-13,2026-08-12,1419.300048828125,1419.4000244140625,1371.0999755859375,1375.4000244140625,52933.0,1400.800048828125,-3.5889493935289063,6.648939291770772,-5.7787317210884925,-21.412406211775625,-26.47432260253748,1409.364990234375,1357.343896484375,1336.5008390299479,1436.132481689453,ELIGIBLE,ELIGIBLE,False,1.8467372373999504,3.07754862662406,3.3862598216499653,True,114527.75,0.46218492898009433,0.08902783604684665,48.300048828125,38.550048828125,6.511686374207916,False,False,1.3206738545930685,False,False,False,True,21.629273685863247,1471.199951171875,False,False,False,1465.0,5.0,1.483052461964531,6.116039289142491,False,23.57207707605029,19,7.619628827247103,0.4453231360460488,True,ELIGIBLE,27.967718024404125,29.893774236543646,False,COMPLETE,,,,,-0.08073516390372011,25.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ABSLAMC,Aditya Birla Sun Life AMC Limited,,2021-10-11,1767.0,420,True,False,499,2026-08-13,2026-08-12,1021.9000244140625,1041.9000244140625,1013.4000244140625,1038.5999755859375,146729.0,1019.7000122070312,-7.351298329152378,3.3216390986199995,26.96037786936134,44.424631155972705,24.51041095172737,1025.907522583008,1075.1286572265626,967.4452478027343,911.5881140136719,ELIGIBLE,ELIGIBLE,False,2.6487436367169117,2.705566674693087,3.7191966542940587,True,351431.3,0.4175183030082978,0.8842088130482456,28.5,28.300018310546875,8.7958389470758,False,False,0.2157509248499112,False,False,False,False,18.597443018016737,1138.7638059443975,False,False,False,1027.800048828125,5.0,1.2840800056056845,-1.0507809150355985,True,11.11003832099071,20,14.5301262024399,0.8309177115054481,False,ELIGIBLE,13.430433461699936,13.084647377063135,False,COMPLETE,,,,,0.20507739634860284,71.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ACC,ACC Limited,,1996-11-20,10858.0,508,True,False,499,2026-08-13,2026-08-12,1349.0,1349.0,1324.0,1335.0,97845.0,1339.800048828125,-3.4846698144428867,-1.4731122531302931,-20.80190504371229,-27.23543876425225,-26.134643635074205,1364.4450134277345,1354.1758862304687,1446.6154565429688,1535.5703033447267,ELIGIBLE,ELIGIBLE,False,1.6928820663623594,2.2990908145649414,2.058690830819805,False,213007.15,0.45935077766168886,0.44,25.0,25.9000244140625,5.580311411817086,False,False,0.6866659827279298,False,False,False,False,9.522151642511743,1413.9000244140625,False,False,False,1395.7999877929688,6.0,1.8770650144233711,4.355924081150434,True,7.0668184776149445,16,7.207017657156567,1.480461191085405,False,ELIGIBLE,26.420631291874248,32.42453312129908,False,COMPLETE,,,,,-0.15423642389859865,14.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ACE,Action Construction Equipment Limited,,2006-09-26,7261.0,408,True,False,499,2026-08-13,2026-08-12,1073.300048828125,1103.5999755859375,1062.300048828125,1096.0999755859375,305682.0,1073.300048828125,9.12982367014279,23.399940960983677,18.876415606227283,9.697754423048277,-0.5848489964930592,1059.7600067138671,1002.48900390625,916.1916691080729,933.5035025024414,ELIGIBLE,ELIGIBLE,False,3.7547679981766224,3.9334262321625078,3.3426181452764836,False,782996.65,0.39040013772728144,0.8184016149960541,41.2999267578125,40.5999755859375,4.604005606097694,False,False,0.0,False,False,False,False,25.979112271540473,1149.0,False,False,False,915.4000244140625,3.0,1.2289709088877294,-19.739998509126004,False,17.980093324802084,5,7.465152541104095,0.31314844301178585,True,ELIGIBLE,2.9210479907672595,6.316241402911325,False,COMPLETE,,,,,0.14957840590949975,64.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ACI,Archean Chemical Industries Limited,,2022-11-21,1361.0,846,True,False,498,2026-08-13,2026-08-12,513.7000122070312,513.75,505.0,506.04998779296875,100818.0,513.5499877929688,-6.941890556711794,-5.388755613001816,-10.690167015850616,-19.352708822659427,-18.486434204555014,543.2949996948242,534.8540032958985,557.2014595540364,557.5032879638671,ELIGIBLE,ELIGIBLE,True,2.509635908187588,3.444042760294009,3.30439597409799,False,449168.35,0.2244548174420571,0.11999860491071429,8.75,16.925003051757812,16.25155353033202,False,False,0.029213205652522944,False,False,False,False,16.42532064542822,604.25,False,False,False,558.0,3.0,1.7562702137936828,9.310038029933915,False,13.545588462524115,16,14.753548415280548,0.6907482321231284,False,ELIGIBLE,27.007360571868748,30.120829536049204,False,COMPLETE,,,,,-0.11861364253813737,19.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ACMESOLAR,Acme Solar Holdings Limited,,2024-11-13,638.0,276,True,True,435,2026-08-13,2026-08-12,369.0,375.0,367.5,372.6000061035156,647813.0,368.45001220703125,-4.985334208147241,35.0000022114187,57.31475469781928,48.10501720340681,34.728488487445766,371.1075012207031,364.78699951171876,293.43903483072916,280.58959022521975,ELIGIBLE,ELIGIBLE,False,1.8589443787503541,3.6155203399678273,4.136274180506278,True,2014033.1,0.3216496292935801,0.6800008138020833,7.5,12.849990844726562,6.264149407920598,False,False,0.1492706675932265,False,False,False,False,30.089046413130006,397.5,False,False,False,398.1499938964844,3.0,1.908829893261674,6.417176487414824,False,18.746237038996473,19,13.283015796973272,1.02764435372752,False,ELIGIBLE,6.837072406357694,6.534551158110147,False,COMPLETE,,,,,0.42029652962301856,86.0,True,4.0,True,True,True,True,False,372.6000061035156,271.65250663757325,398.6499938964844,195.72747422084996,6.534551158110147,90.3667370085667,43.03910169919503,15.651285111371008,13.446467636937335,3.916800860192719,3.639291160050443,3.244766288675153,398.6499938964844,6.534551158110147,2069601.8,2090779.64,0.9898708407166239,372.6499938964844,-6.5220118896455626,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot,COMPLETE
ACSTECH,ACS Technologies Limited,,2026-04-20,115.0,1455,False,True,80,2026-08-13,2026-08-12,51.45000076293945,52.400001525878906,49.540000915527344,50.09000015258789,578863.0,50.45000076293945,15.788261895643597,40.93978295510872,,,,42.927499771118164,41.45019981384277,,,NOT ELIGIBLE,NOT ELIGIBLE,False,1.0181639448584712,4.951088744493302,5.22174717557951,True,305649.15,1.8938806144234328,0.19230738450539658,2.8600006103515625,2.1650009155273438,6.478717572314187,False,False,1.982160525029375,False,True,False,False,40.79537290623445,53.560001373291016,False,True,False,46.5,3.0,1.9784906859038978,-7.720430435672883,False,33.76622794502826,20,26.90440529861152,1.0000763786874078,False,NOT ELIGIBLE,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPLETE
ACUTAAS,Acutaas Chemicals Limited,,2021-09-14,1794.0,196,True,False,499,2026-08-13,2026-08-12,3242.0,3285.0,3136.199951171875,3153.39990234375,159044.0,3246.0,-11.09419523623939,15.466858379485537,53.82438548018293,79.58880679416973,143.79136206491884,3354.4199951171877,3344.357998046875,2648.222664388021,2416.1895001220705,ELIGIBLE,ELIGIBLE,False,4.078141106069945,4.771041039733081,4.2206116400791265,False,376341.2,0.42260586935472383,0.11559103177272616,148.800048828125,125.3499755859375,14.772975612331082,False,False,-0.12322858903265343,False,False,False,False,23.417113605030078,3700.0,False,False,False,3720.0,2.0,1.0752688172043012,15.231185420866936,False,22.70982813282163,16,18.08827511508259,1.0975849395713095,False,ELIGIBLE,15.493384511206623,15.684494589739304,False,COMPLETE,,,,,0.6162765421964853,93.0,True,0.0,False,False,False,False,False,3153.39990234375,2230.8420013427735,3740.0,1259.9171723015825,15.684494589739305,150.28628640589164,30.577475866159247,23.636363636363637,21.16363474948347,4.404642620509888,4.412063074282887,3.7480178186893087,3740.0,15.684494589739304,311183.4,407483.58,0.7636710171241747,3136.800048828125,-16.12834094042447,False,LIVE,2026-08-13T12:14:00+05:30,live price not above pivot,COMPLETE
