symbol,company_name,industry,yahoo_symbol,latest_close,price_date,return_63d,return_126d,return_189d,return_252d,weighted_momentum,rs_rating,is_high_rs,vcp_stars,vcp_trend_template,vcp_range_position,vcp_contracting_ranges,vcp_contracting_volatility,vcp_pivot_readiness,close,sma50,sma150,sma200,sma200_20d_ago,high_252,low_252,pct_below_high,pct_above_low,range_60_pct,range_30_pct,range_15_pct,atr_50_pct,atr_20_pct,atr_10_pct,pivot_55,distance_to_pivot_pct,avg_volume_10,avg_volume_50,volume_ratio,live_price,breakout_pct,is_breakout,quote_status,quote_timestamp,breakout_reason
WELCORP,Welspun Corp Limited,,WELCORP.NS,1867.5999755859375,2026-08-12,0.43147543670895483,1.2463600882253356,1.0354131021932598,1.146885181674202,0.8583218491021415,97,True,4,True,True,True,False,True,1867.5999755859375,1560.465546875,1166.0704341634114,1086.8553805541992,1001.218013305664,1872.9000244140625,707.6502693631002,0.2829862117057269,163.91567366558286,50.06541047676515,32.97124773972755,19.58243409551289,2.8068281228877656,2.9066722250622066,2.6975807318715352,1872.9000244140625,0.2829862117057274,714373.9,988016.62,0.7230383432213924,1880.4000244140625,0.4004484971025901,True,LIVE,2026-08-13T12:14:00+05:30,live price above pivot
CUPID,Cupid Limited,,CUPID.NS,289.8699951171875,2026-08-12,1.4083582057763566,2.3322221201929176,4.723452901338413,7.629651497481607,3.50040858611313,99,True,3,True,True,True,False,False,289.8699951171875,202.53439880371093,132.06693298339843,116.96465972900391,98.14789985656738,290.0,31.81800079345703,0.04482926993534253,811.0251677936835,142.37358654548478,63.94369438669959,40.742536134374504,3.5297208179010067,3.7370210539392703,4.1939503877470665,290.0,0.04482926993534483,31860039.3,35610941.54,0.8946699503638005,292.5799865722656,0.8896505421605694,True,LIVE,2026-08-13T12:14:00+05:30,live price above pivot
VADILALIND,Vadilal Industries Limited,,VADILALIND.NS,7246.5,2026-08-12,0.7289796865596141,0.5473724346884352,0.37322342239909045,0.3836285825603767,0.5524367625534262,91,True,3,True,True,True,False,False,7246.5,6543.95798828125,5263.178004557291,5252.800004882813,5089.915004882812,7575.0,3996.0,4.3366336633663405,81.34384384384386,82.09134615384616,25.528212776534925,14.339622641509434,3.1467881315548882,3.068377837576761,3.1615262540536806,7575.0,4.336633663366336,21480.7,21790.24,0.9857945575633862,7775.0,2.64026402640265,True,LIVE,2026-08-13T12:15:00+05:30,live price above pivot
KRN,KRN Heat Exchanger and Refrigeration Limited,,KRN.NS,1331.9000244140625,2026-08-12,0.13585199739452847,0.8023004389906123,0.7015650263993134,0.5071857033108516,0.4565510326979669,88,True,3,True,True,False,True,False,1331.9000244140625,1227.6379956054689,1039.7423319498698,975.2989984130859,935.7697497558594,1405.0,589.7999877929688,5.202845237433273,125.82232146155712,33.817533844423075,16.956521739130434,16.956521739130434,3.7068849799627435,3.395900897494942,3.336586952985196,1345.0,0.9739758799953532,85556.2,105510.56,0.8108780770379761,1398.4000244140625,3.9702620382202625,True,LIVE,2026-08-13T12:15:00+05:30,live price above pivot
RADICO,Radico Khaitan Limited,,RADICO.NS,4533.0,2026-08-12,0.2983132010483467,0.6438910967196316,0.3937469542321872,0.6010210847058988,0.44705710755088224,87,True,3,True,True,True,False,False,4533.0,3996.698828125,3328.34740234375,3301.2180529785155,3170.1716845703127,4590.2998046875,2494.465428414862,1.248280224071352,81.72230203569306,34.90760746102695,18.550854042729124,13.65222995558211,2.12213712221077,2.413789242546913,2.257444969529009,4590.2998046875,1.2482802240713529,396267.8,400580.92,0.9892328371506062,4623.39990234375,0.7210879259443859,True,LIVE,2026-08-13T12:13:00+05:30,live price above pivot
AZAD,Azad Engineering Limited,,AZAD.NS,2479.5,2026-08-12,0.18172722223883553,0.5562040569970965,0.5374837694998758,0.585865046370323,0.4086014634689933,85,True,3,True,True,True,False,False,2479.5,2261.276015625,1919.2240071614583,1850.2780072021485,1775.041004638672,2589.0,1360.0,4.229432213209739,82.31617647058825,32.70117888262429,27.725703009373458,15.066666666666666,3.9689451549581567,3.8344424279088525,4.144383357594777,2589.0,4.2294322132097335,503503.1,579440.78,0.868946607451412,2625.0,1.3904982618771822,True,LIVE,2026-08-13T12:14:00+05:30,live price above pivot
PRECWIRE,Precision Wires India Limited,,PRECWIRE.NS,421.8500061035156,2026-08-12,0.12353651795371268,0.6327698030248428,0.8371509236337076,1.4365711443282425,0.6307129813788437,93,True,2,True,True,False,False,False,421.8500061035156,395.292744140625,348.22724314371743,321.1549918365479,302.88169120788575,466.7742735923595,167.8243305359414,9.624409490930274,151.36403330574996,32.699404050410784,27.077769633755917,27.077769633755917,4.230158599816456,4.263057184477856,5.422015758291463,450.5994159893963,6.38025902069904,582961.6,358463.38,1.6262793705733622,462.95001220703125,2.7409259265275265,True,LIVE,2026-08-13T12:15:00+05:30,live price above pivot
AUROPHARMA,Aurobindo Pharma Limited,,AUROPHARMA.NS,1667.0,2026-08-12,0.10265904627545064,0.48296418130520435,0.4435399458907612,0.5604378301102986,0.3384520099714331,82,True,2,True,True,False,False,False,1667.0,1541.65599609375,1383.023329264323,1334.0679962158204,1285.9944982910156,1671.9000244140625,1016.0999755859375,0.29308118562769714,64.05865958600371,20.194106715604782,10.575398440083498,10.575398440083498,2.3060591983165866,2.353929726749963,2.538693433188362,1671.9000244140625,0.29308118562769764,1198071.4,1208811.9,0.9911148293626163,1673.800048828125,0.11364461907514833,True,LIVE,2026-08-13T12:13:00+05:30,live price above pivot
RBA,Restaurant Brands Asia Limited,,RBA.NS,93.81999969482422,2026-08-12,0.38500151540458605,0.4409460730354866,0.4023915927495436,0.16315392307497323,0.3552989239338351,82,True,2,True,True,False,False,False,93.81999969482422,74.04419998168946,67.64353335062663,66.90560005187989,66.82304992675782,96.44999694824219,57.150001525878906,2.726798690132981,64.1644745229626,51.72250654595333,51.72250654595333,51.72250654595333,3.197398752152425,4.281069026016138,6.094649380853732,96.44999694824219,2.726798690132982,36318843.5,13772848.4,2.6369885476993997,99.4800033569336,3.14153084972868,True,LIVE,2026-08-13T12:15:00+05:30,live price above pivot
NELCO,NELCO Limited,,NELCO.NS,974.0999755859375,2026-08-12,0.4518940942199625,0.4593875907484892,0.13896981942869147,0.12174737167346539,0.32477859405811427,81,True,2,False,True,True,False,False,974.0999755859375,882.4470739746093,726.1462135823567,745.3968809509278,737.2933372497558,1026.0,499.3681252958441,5.058481911701995,95.06651030416585,55.15344369097084,21.968614492540787,13.014267510202556,4.423881341721717,4.625296388004402,4.657633555213665,1026.0,5.058481911701998,571883.3,590958.28,0.9677219515394556,1032.5,0.6335282651072083,True,LIVE,2026-08-13T12:15:00+05:30,live price above pivot
RATNAVEER,Ratnaveer Precision Engineering Limited,,RATNAVEER.NS,210.00999450683594,2026-08-12,0.18355495726610394,0.37127001551683914,0.38255433143698414,0.5069603443388371,0.32557892116497367,81,True,2,True,True,False,False,False,210.00999450683594,182.28559967041016,163.75833282470703,161.45729988098145,157.86084983825683,218.49000549316406,130.5,3.8811894242885336,60.92719885581297,37.79642334594763,27.682335044210543,26.14167601419056,4.532832045419621,5.44402670451635,5.576877931500743,218.49000549316406,3.881189424288536,9305413.8,4945721.34,1.8815079055788455,220.89999389648438,1.1030199747034786,True,LIVE,2026-08-13T12:15:00+05:30,live price above pivot
SUNDRMFAST,Sundram Fasteners Limited,,SUNDRMFAST.NS,1210.0,2026-08-12,0.4210217263652378,0.30859898815242603,0.2812963529087087,0.2666575682902157,0.33971927241636524,82,True,1,False,True,False,False,False,1210.0,942.9320031738281,887.321875,901.4955657958984,898.9336883544922,1226.0,726.5272499221361,1.3050570962479635,66.54571457982877,50.40176204144265,33.996391457786615,32.169041857248004,2.013471417387655,2.5113636363636362,3.245040515237603,1226.0,1.3050570962479608,338427.7,167033.86,2.0261023722974496,1234.9000244140625,0.7259400011470296,True,LIVE,2026-08-13T12:15:00+05:30,live price above pivot
