symbol,company_name,industry,yahoo_symbol,latest_close,price_date,return_63d,return_126d,return_189d,return_252d,weighted_momentum,rs_rating,is_high_rs
CUPID,Cupid Limited,,CUPID.NS,289.8699951171875,2026-08-12,1.4083582057763566,2.3322221201929176,4.723452901338413,7.629651497481607,3.50040858611313,99,True
YASHO,Yasho Industries Limited,,YASHO.NS,4210.0,2026-08-12,1.482855476158063,2.0039772191797742,1.6520594563943738,1.2904168183889917,1.5824328892558532,99,True
INDSWFTLAB,Ind-Swift Laboratories Limited,,INDSWFTLAB.NS,300.0,2026-08-12,1.2406453160623,1.187386170986115,1.8788024434854846,1.9940120672355262,1.5082982627663453,99,True
HFCL,HFCL Limited,,HFCL.NS,221.52000427246094,2026-08-12,0.4978700736134172,2.0639003447051056,1.8291187182461788,1.999427181552457,1.3776372783461153,99,True
ATHERENERG,Ather Energy Limited,,ATHERENERG.NS,1569.4000244140625,2026-08-12,0.6742052310005455,1.1571026743809805,1.3785996566379248,2.9427209459690498,1.3653667477978093,99,True
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,,SKYGOLD.NS,838.7999877929688,2026-08-12,0.8798744169549149,1.5510949480969116,1.4190338508809481,1.9483303613109624,1.3356415988397305,99,True
CPPLUS,Aditya Infotech Limited,,CPPLUS.NS,3899.10009765625,2026-08-12,0.5829525711322996,1.4580151837599717,1.6005801460688867,2.439011047517493,1.3327023039221901,98,True
RPTECH,Rashi Peripherals Limited,,RPTECH.NS,848.0,2026-08-12,0.6707713927596466,1.1997405966277563,1.5798599589521412,1.984777852765606,1.2211842387729592,98,True
DEEDEV,DEE Development Engineers Limited,,DEEDEV.NS,638.7000122070312,2026-08-12,0.2738333067050114,1.9682128169294137,1.8124174154178672,1.4266716663547658,1.150993702422414,98,True
SANSERA,Sansera Engineering Limited,,SANSERA.NS,3878.300048828125,2026-08-12,0.626121613764413,0.9057985497926904,1.5069812856031835,2.0559476067764995,1.14419413394024,98,True
UNIVCABLES,Universal Cables Limited,,UNIVCABLES.NS,1700.199951171875,2026-08-12,0.7000434774436044,1.324821086243316,1.3784496113043674,1.425508168087188,1.1057731641044162,98,True
SETL,Standard Engineering Technology Limited,,SETL.NS,300.04998779296875,2026-08-12,1.2009094385900623,1.2426937951275656,0.832030712109747,0.7408330629522428,1.043475289473936,98,True
GVPIL,GE Power India Limited,,GVPIL.NS,794.0,2026-08-12,0.15153881568389105,1.3397143471732917,1.7631372999648578,1.5426998238625362,0.9897258204736936,98,True
SAKAR,Sakar Healthcare Limited,,SAKAR.NS,935.7999877929688,2026-08-12,0.3431892800295899,1.01789754780155,1.3123300211669977,1.777266519931116,0.9587745297917688,98,True
SHILPAMED,Shilpa Medicare Limited,,SHILPAMED.NS,805.2000122070312,2026-08-12,0.68311041488278,1.370326709662582,1.04677179638926,0.9610208298679814,0.9488680331370767,98,True
AEROFLEX,Aeroflex Industries Limited,,AEROFLEX.NS,446.54998779296875,2026-08-12,0.20526937935984568,1.2938220407758885,1.435826410277496,1.514481093297627,0.9309336606141407,98,True
INDOTECH,Indo Tech Transformers Limited,,INDOTECH.NS,3539.0,2026-08-12,0.3612585327841751,1.4600306270397203,1.2264863164517146,1.2179744636185554,0.9254016945356682,97,True
SBCL,Shivalik Bimetal Controls Limited,,SBCL.NS,1026.6500244140625,2026-08-12,0.7075260281314968,0.9978518557230003,1.0444194769436885,0.986475939097085,0.8887598656053536,97,True
PAISALO,Paisalo Digital Limited,,PAISALO.NS,68.75,2026-08-12,0.4712176476240102,1.004957660087677,1.1238802060101576,1.245894576020791,0.8634335474733292,97,True
